alpha,auc_pr,hits@10,mrr
0.0,0.41455064262454877,0.8823529411764706,0.7332283480531752
0.05,0.4708852062546519,0.875,0.7287947673202438
0.1,0.48293349601629726,0.8897058823529411,0.735292415577342
0.15000000000000002,0.49140736851352645,0.8823529411764706,0.7292699041423456
0.2,0.49796852942641,0.8676470588235294,0.7227909504895789
0.25,0.5031037839544515,0.8602941176470589,0.711718637748788
0.30000000000000004,0.5072899924517572,0.8529411764705882,0.7043571209205884
0.35000000000000003,0.5108022588864206,0.8382352941176471,0.6875814596560728
0.4,0.5136415151039806,0.8235294117647058,0.6764815828853205
0.45,0.5159706038947605,0.8235294117647058,0.673166922746981
0.5,0.517617783564552,0.8235294117647058,0.6574693088163124
0.55,0.5187555330813021,0.8088235294117647,0.6479218805906906
0.6000000000000001,0.5191793759461546,0.8088235294117647,0.6286524138957802
0.65,0.5188220230706869,0.8088235294117647,0.611842272391432
0.7000000000000001,0.5172732140466729,0.8088235294117647,0.6049893469651512
0.75,0.5145537921063469,0.7867647058823529,0.5852823060034861
0.8,0.5099569803820183,0.75,0.558523140876547
0.8500000000000001,0.5027701691432448,0.7279411764705882,0.5023844751201123
0.9,0.49217955323374285,0.7205882352941176,0.4404718896643264
0.9500000000000001,0.47706938009032757,0.6838235294117647,0.3818355922837449
1.0,0.4572766424946316,0.6397058823529411,0.354973913165423
