alpha,auc_roc,auc_pr,hits@10,mrr
0.0,0.9575118143074978,0.8284361816423937,0.8529411764705882,0.7604090073529413
0.05,0.9641647877595173,0.8382762900379683,0.8529411764705882,0.7490021008403361
0.1,0.9671887812952079,0.8435616469186371,0.8529411764705882,0.7480585655314758
0.15000000000000002,0.9689743903869462,0.8473668522207396,0.8529411764705882,0.7462203302373581
0.2,0.9700742352956508,0.8500082752588624,0.8529411764705882,0.7423713235294118
0.25,0.9707261921828775,0.8516574843529071,0.8529411764705882,0.741390931372549
0.30000000000000004,0.9710150008471374,0.852359846223846,0.8529411764705882,0.741390931372549
0.35000000000000003,0.9709809328936907,0.8520150114681305,0.8529411764705882,0.741390931372549
0.4,0.9706379595720002,0.8506352067622839,0.8529411764705882,0.7287683823529412
0.45,0.9699715101200328,0.8480515045957153,0.8529411764705882,0.7250919117647059
0.5,0.9689488720040664,0.8440350095318796,0.8529411764705882,0.7178089985994398
0.55,0.9674942199168503,0.8381471558471575,0.8529411764705882,0.7126736111111112
0.6000000000000001,0.9654890067640656,0.8297141990085174,0.8529411764705882,0.7122534430438842
0.65,0.9627686272465431,0.8180367080641758,0.8529411764705882,0.6963220704948646
0.7000000000000001,0.9592618696972461,0.8031396720334336,0.8529411764705882,0.6933692226890756
0.75,0.9548637672848596,0.7849257281394599,0.8529411764705882,0.6838133169934641
0.8,0.9496197005043723,0.7643320268685847,0.8529411764705882,0.6811785130718955
0.8500000000000001,0.9433646730701559,0.7413105383091978,0.8308823529411765,0.6732829364263189
0.9,0.9359465130524313,0.7161932402836699,0.8308823529411765,0.6523359636086712
0.9500000000000001,0.9274579103077063,0.6893924665143674,0.8161764705882353,0.6412132087683559
1.0,0.917134316881492,0.6601616144763017,0.7941176470588235,0.6295954037082554
